"Municipio","Ponto","Ambiente","Data","Ano","Especie","Estagio","Sexo","Lat","Long"
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","29/09/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.688419444,-63.67775833
